Content ID,Title,Year,Age,IMDb,Rotten Tomatoes,Hidden Gem,Awards Received,Awards Nominated,Directors,Platform,Type
NM240,Evelyn,2019,all,71,77,50,4,7,Bruce Beresford,Netflix,Movie
NM241,I Am Sam,2001,13+,76,77,38,0,0,Jessie Nelson,Netflix,Movie
NM242,In The Shadow Of The Moon,2019,18+,62,77,35,0,0,Jim Mickle,Netflix,Movie
NM243,Neon Genesis Evangelion: The End Of Evangelion,1997,18+,81,77,42,2,0,Hideaki Anno,Netflix,Movie
NM244,Memoirs Of A Geisha,2005,13+,73,76,37,0,0,Rob Marshall,Netflix,Movie
NM245,Mad Max,1979,18+,69,76,39,5,7,George Miller,Netflix,Movie
NM246,John Leguizamo'S Latin History For Morons,2018,7+,75,76,38,0,0,Aram Rappaport,Netflix,Movie
NM247,And Breathe Normally,2018,16+,69,76,78,8,22,Isold Uggadottir,Netflix,Movie
NM248,The Killing Of A Sacred Deer,2017,18+,70,76,37,5,53,Yorgos Lanthimos,Netflix,Movie
NM249,Angels & Demons,2009,13+,67,76,25,1,5,Ron Howard,Netflix,Movie
NM250,Smoke & Mirrors,2016,all,69,76,36,0,0,Alberto Rodríguez,Netflix,Movie
NM251,Bright,2017,18+,63,76,20,1,7,David Ayer,Netflix,Movie
NM252,Yes Man,2008,13+,68,76,27,3,9,Peyton Reed,Netflix,Movie
NM253,Murder Mystery,2019,13+,60,76,24,1,6,Kyle Newacheck,Netflix,Movie
NM254,Pink,2016,all,81,76,45,12,17,Aniruddha Roy Chowdhury,Netflix,Movie
NM255,The Photographer Of Mauthausen,2018,18+,68,76,46,4,11,Mar Targarona,Netflix,Movie
NM256,Midnight Run,1988,18+,75,76,41,2,4,Martin Brest,Netflix,Movie
NM257,Flavors Of Youth,2018,13+,66,76,36,0,0,Haoling Li,Netflix,Movie
NM258,13Th,2016,18+,82,76,44,32,46,Ava DuVernay,Netflix,Movie
NM259,Ravenous,2017,18+,58,76,34,0,0,Antonia Bird,Netflix,Movie
NM260,Austin Powers: The Spy Who Shagged Me,1999,13+,66,76,29,18,31,Jay Roach,Netflix,Movie
NM261,The Life Of David Gale,2003,18+,75,76,74,6,11,Alan Parker,Netflix,Movie
NM262,Tramps,2016,all,65,76,66,0,0,Adam Leon,Netflix,Movie
NM263,The Girl Next Door,2004,18+,67,76,36,0,0,Luke Greenfield,Netflix,Movie
NM264,The Two Popes,2019,13+,76,76,40,12,57,Fernando Meirelles,Netflix,Movie
NM265,The Wandering Earth,2019,13+,60,76,31,33,37,Frant Gwo,Netflix,Movie
NM266,Just Another Love Story,2007,all,72,76,63,5,9,Ole Bornedal,Netflix,Movie
NM267,Eye For An Eye,2019,18+,66,76,36,0,0,Francesco Cinquemani,Netflix,Movie
NM268,Patton Oswalt: Annihilation,2017,all,72,76,82,0,0,Bobcat Goldthwait,Netflix,Movie
NM269,Joan Didion: The Center Will Not Hold,2017,all,75,76,80,0,3,Griffin Dunne,Netflix,Movie
NM270,Steve Jobs,2015,18+,72,76,40,28,112,Danny Boyle,Netflix,Movie
NM271,White Fang,2018,7+,70,76,37,0,0,Randal Kleiser,Netflix,Movie
NM272,A Monster Calls,2016,13+,75,76,40,39,53,J.A. Bayona,Netflix,Movie
NM273,Olympus Has Fallen,2013,18+,65,76,26,1,5,Antoine Fuqua,Netflix,Movie
NM274,Talladega Nights: The Ballad Of Ricky Bobby,2006,13+,66,76,34,8,9,Adam McKay,Netflix,Movie
NM275,The Time Traveler'S Wife,2009,13+,71,76,40,4,16,Robert Schwentke,Netflix,Movie
NM276,State Of Play,2009,13+,71,76,36,2,4,Kevin Macdonald,Netflix,Movie
NM277,The Outlaw Josey Wales,1976,7+,78,76,39,0,0,Clint Eastwood,Netflix,Movie
NM278,The Bank Job,2008,18+,72,76,37,0,3,Roger Donaldson,Netflix,Movie
NM279,Miss Sloane,2016,18+,75,76,36,1,10,John Madden,Netflix,Movie
NM280,Unknown,2011,13+,68,75,30,0,3,Jaume Collet-Serra,Netflix,Movie
NM281,6 Underground,2019,18+,61,75,23,1,9,Michael Bay,Netflix,Movie
NM282,Uncorked,2020,13+,63,75,60,0,0,Prentice Penny,Netflix,Movie
NM283,Petta,2019,all,73,75,44,0,0,Karthik Subbaraj,Netflix,Movie
NM284,Justin Timberlake + The Tennessee Kids,2016,all,77,75,80,0,0,Jonathan Demme,Netflix,Movie
NM285,My Fair Lady,1964,all,78,75,38,0,0,George Cukor,Netflix,Movie
NM286,"Bikram: Yogi, Guru, Predator",2019,18+,67,75,56,0,1,Eva Orner,Netflix,Movie
NM287,A Futile And Stupid Gesture,2018,18+,68,75,32,0,2,David Wain,Netflix,Movie
